HOST_TYPE,MODEL_TYPE,FEATURE_TYPE,INCLUDE_NON_KP_GENOMES_IN_TRAINING,INCLUDE_NON_KP_GENOMES_IN_TESTING,OVERSAMPLING,ST,#SAMPLES_TEST_SET,precision0,recall0,precision1,recall1,f1
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_3698,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_37,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_377,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_3787,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_38,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_3813,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_3832,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_3834,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_3874,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_3947,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_395,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_412,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_418,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_4226,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_437,2,1.0,0.5,0.0,-1,0.6666666666666666
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_45,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_463,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_474,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_48,7,0.8,1.0,1.0,0.6666666666666666,0.8444444444444446
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_485,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_489,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_490,3,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_514,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_54,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_540,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_6,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_6005,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_6060,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_6161,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_628,2,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_70,2,1.0,1.0,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_711,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_776,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_831,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_86,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_941,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_976,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_985,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,NO,False,kpneumoniae_New_32,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,Exclude,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kaerogenes_128,2,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kaerogenes_246,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kaerogenes_4,3,-1,0.0,0.6666666666666666,1.0,0.8
all hosts,hv_vs_lv,baseline,NO,YES,False,kaerogenes_586,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kaerogenes_93,2,-1,0.0,0.5,1.0,0.6666666666666666
all hosts,hv_vs_lv,baseline,NO,YES,False,koxytoca_153,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,koxytoca_170,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,koxytoca_176,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,koxytoca_199,3,0.5,0.5,0.0,0.0,0.5
all hosts,hv_vs_lv,baseline,NO,YES,False,koxytoca_216,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,koxytoca_383,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,koxytoca_53,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,koxytoca_New_122,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,koxytoca_New_131,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_1,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_101,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_1012,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_104,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_1050,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_11,23,0.65,0.9285714285714286,0.6666666666666666,0.2222222222222222,0.5490196078431373
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_1180,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_1243,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_13,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_1380,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_14,2,0.0,-1,1.0,0.5,0.6666666666666666
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_1423,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_1435,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_147,3,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_15,15,0.625,1.0,1.0,0.7,0.7963800904977376
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_158,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_16,6,1.0,1.0,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_1686,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_1688,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_171,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_189,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_196,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_1994,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_20,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_2097,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_2263,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_23,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_234,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_25,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_252,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_258,52,0.8775510204081632,0.9772727272727273,0.6666666666666666,0.25,0.6441837732160313
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_268,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_29,4,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_307,3,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_3164,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_3321,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_334,5,-1,0.0,0.8,1.0,0.888888888888889
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_336,4,0.5,1.0,1.0,0.6666666666666666,0.7333333333333334
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_3395,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_34,3,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_340,4,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_343,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_347,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_35,2,-1,0.0,0.5,1.0,0.6666666666666666
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_3614,2,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_3615,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_3686,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_3698,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_37,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_377,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_3787,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_38,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_3813,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_3832,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_3834,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_3874,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_3947,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_395,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_412,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_418,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_4226,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_437,2,1.0,0.5,0.0,-1,0.6666666666666666
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_45,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_463,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_474,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_48,7,0.8,1.0,1.0,0.6666666666666666,0.8444444444444446
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_485,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_489,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_490,3,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_514,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_54,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_540,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_6,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_6005,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_6060,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_6161,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_628,2,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_70,2,1.0,1.0,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_711,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_776,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_831,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_86,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_941,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_976,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_985,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,NO,YES,False,kpneumoniae_New_32,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,Exclude,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_1,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_101,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_1012,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_104,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_1050,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_11,23,0.65,0.9285714285714286,0.6666666666666666,0.2222222222222222,0.5490196078431373
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_1180,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_1243,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_13,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_1380,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_14,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_1423,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_1435,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_147,3,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_15,15,0.5555555555555556,1.0,1.0,0.6,0.7321428571428571
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_158,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_16,6,1.0,1.0,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_1686,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_1688,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_171,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_189,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_196,1,-1,0.0,0.0,-1,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_1994,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_20,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_2097,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_2263,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_23,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_234,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_25,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_252,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_258,52,0.8936170212765957,0.9545454545454546,0.6,0.375,0.6923076923076923
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_268,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_29,4,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_307,3,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_3164,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_3321,1,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_334,5,1.0,1.0,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_336,4,0.5,1.0,1.0,0.6666666666666666,0.7333333333333334
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_3395,2,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_34,3,0.0,-1,1.0,0.6666666666666666,0.8
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_340,4,-1,-1,1.0,1.0,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_343,1,1.0,1.0,-1,-1,1.0
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_347,1,0.0,-1,-1,0.0,-1
all hosts,hv_vs_lv,baseline,TRAINING-ONLY,NO,True,kpneumoniae_35,2,1.0,1.0,1.0,1.0,1.0
